text;likes;words_amount;unique_word_count;char_count;sentiment;video_date
Subscribe and i'll invite you next time!;294682;8;8;40;Very Positive;2019
"Mr Beast: Enters a store:


The stockers and cashiers: oH nO";1477;11;11;60;Very Negative;2019
Legend has it, the receipt is still printing;1015;8;8;44;Very Positive;2019
You're the most kindest man in the world God bless you;433;12;10;54;Very Negative;2019
The fact that we get behind the scenes, the why, and he explains what he did before and how he improved it, great creator;57;24;19;121;Very Positive;2019
"Mr.beast: *exists*
Homeless shelters and charities: stonks";436;8;8;58;Very Negative;2019
"Mr Beast : *walks in store*

Manager : *happiness noises*";2268;8;8;57;Very Negative;2019
"Jimmy is the definition of ""chaotic good""";4743;7;7;41;Very Negative;2019
who knew watching people buy stuff could be so entertaining;29;10;10;59;Neutral;2019
"Normal human beings: buys their needs
Mr. Beast: buys for the universe";460;12;11;70;Neutral;2019
"Person: hey what do you do for a living?
*Mr beast: I give away money*";619;15;14;70;Very Negative;2019
Nobody’s talking about the man who was homeless, he looks so good now.;1044;14;14;70;Very Positive;2019
just that little boy saying subscribe to mr beast was enough for me;15;13;13;67;Neutral;2019
Mr.beast was “panic buying” before other people did;410;9;9;51;Very Negative;2019
The store restockers will definitely have a hard time restocking;818;10;10;64;Positive;2019
"Mr beast: buys the whole store

Monthly budget: I can't keep up with you.";460;15;15;73;Very Positive;2019
I have an announcement to make this was the very first MrBeast video I ever watched five years ago;103;19;18;98;Very Positive;2019
"""-Look at all this tea!
- What are you, James Charles?""

XDDDDD";695;11;11;63;Very Negative;2019
It would be great if you did this to a local/family business, it would definitely make their year :);433;19;17;100;Positive;2019
"""Look at all this tea""
""What are you James Charles?""
""HEY SISTERS!""";603;12;12;67;Very Negative;2019
"Я одна думаю о том, что людям пришлось потом заниматься выкладкой всего этого товара? 
Но Джимми прекрасный человек!";53;18;18;116;Positive;2019
This puts “ I’ll take your entire stock” to a whole new level.;359;13;13;62;Very Positive;2019
"Next year
MrBeast: buying a whole country!
couple of weeks
Morgz: buying a whole country - challenge";1095;16;12;100;Very Negative;2019
Imagine it was someone’s first day at the job and this happens;767;13;13;62;Very Positive;2019
The car alarm was so funny ;9;6;6;27;Very Positive;2019
"Mrbeast 2019: I bought everything in a store

Mrbeast 2030: I bought every store";829;14;10;80;Very Negative;2019
"Next week on Mr.beast



Buying a a country and fill it with cereals";605;14;13;68;Positive;2019
