text;likes;words_amount;unique_word_count;char_count;sentiment;video_date
The new Feastables bars will take some time to hit shelves! Should be in every Walmart right now and give the other retailers some time to get the new product ;114636;30;24;159;Very Positive;2023
Mack's determination and resilience are truly inspiring. He deserves all the success that comes his way.;75835;17;17;104;Very Positive;2023
"This is the saddest thing I've seen this month. 
Give this man another chance";24907;15;13;77;Very Negative;2023
Dude, make this man a full time member, he deserves it every bit;8856;13;13;64;Very Positive;2023
The one diver who finds the 100000 grand down there;64;10;9;51;Very Positive;2023
He absolutely deserves the money. The whole challenge was about him facing his fears. He accepted and went through all of them. The last challenge was facing his fear of failure. He accomplished that challenge. He even declined a guaranteed $300,000 just to face his fear. He accomplished the fear challenge.;3403;52;34;308;Very Positive;2023
Mack was seriously CRAZY for doing this, but give him another chance because it was really good. FEDE'S VOICE REALLY GAVE A LOT OF SUSPENSE! He was fabulous.;3139;29;26;157;Positive;2023
"""Only MrBeast can make giveaways this epic and exciting. You’re a legend!""";57;13;13;74;Very Positive;2023
Mack gave his all, hes definitely a legend in our hearts.;2862;11;11;57;Very Positive;2023
Mack honestly might be my favourite guy you've had on this channel in awhile, and now we need to see his comeback to greatness.;1780;25;24;127;Very Positive;2023
I had a heart attack when the spiders came out. literally. I went into a coma for 4 months and woke up at the hospital. I’m all better now;10;30;26;138;Very Negative;2023
PLEASE give Mack one more try, he’s so determined it’s inspiring!;1032;13;12;65;Very Positive;2023
PLEASE give Mack one more try, he’s so determined it’s inspiring.;522;13;12;65;Very Positive;2023
Theoretically, he passed all the tests, faced all his fears, and until the last one when making the decision to do it, you are a hero, mack;4184;27;24;139;Very Positive;2023
Video Last time emotional ;8;4;4;26;Very Positive;2023
Bro Mack deserves to at least get something, he's my favorite contestant you guys have ever had. he's so cool.;2319;22;20;110;Very Positive;2023
Mack' determination filled me, seeing that he lost the last challenge seriously made me cry, give him another chance;1145;19;18;116;Negative;2023
"This dude deserves another chance
He is a legend and even fought harder than anyone else on this channel for a prize";1703;22;20;116;Very Positive;2023
8:58 bro I could smell the festables through the screen ;3;11;10;56;Very Negative;2023
he deserved to win that because to get over the fear of failure isn't to win, it's to fail and get over it;2358;25;18;106;Very Negative;2023
"Bro was tortured and then went home with nothing
An Absolute legend";18192;12;12;67;Very Negative;2023
I love hearing Vivaldi summer while he cutting cookie;2;9;9;53;Very Positive;2023
The last challenge is absolutely the hardest for him, even he so fast, he forgot that he shouldn't break the cookie;6766;22;18;115;Very Positive;2023
Mack is a legend, we will never forget him, a man who truly deserved pure respect.;2317;16;15;82;Very Positive;2023
Mac is very brave & strong person ;2;6;6;34;Very Positive;2023
Bro that last fear hit deep, one of the hardest to go through in life;7942;15;15;69;Very Positive;2023
mack was CRAZY for doing this. give him another Chance, he deserves it!;1226;13;13;71;Very Positive;2023
Take him in the squad man! He deserves another chance, specially his enthusiasm;925;13;13;79;Very Positive;2023
So Mack's basically the most badass person alive right now? ;10;11;11;60;Neutral;2023
Mack is truly a hero he deserves another chance;2532;9;9;47;Very Positive;2023
Give mack another chance, he deserves it, he made me cry when he lost.;1681;14;12;70;Very Positive;2023
Mack is a legend when it comes to determination and endurance. He deserves to win the money no matter what.;1321;20;19;107;Very Positive;2023
indo hadir bosssqu, baru 2 hari tontonin vdio mrbeast trus ;5;10;10;59;Very Negative;2023
Give mack another chance jimmy he definetely deserves it , the  challenges were insane;1367;13;13;86;Very Positive;2023
Mack deserves one more chance because that fear of failure would get to anybody plus that 200 foot fall shows how much he trusts you jimmy;1631;26;25;138;Very Positive;2023
