text;likes;words_amount;unique_word_count;char_count;sentiment;video_date
Visit https://www.beastphilanthropy.org/campaign/mrbeast-100-wells to donate and help us build more wells!;156197;17;16;106;Very Positive;2023
YOU ARE THE BEST HUMAN BEING;55260;6;6;28;Very Positive;2023
Mr.Beast, you forever have my respect.;81360;7;7;38;Very Positive;2023
It's awesome to see Mr. Beast helping people. You are incredible, Jimmy!;24710;13;13;72;Very Positive;2023
The better feeling is to see others happy, the best feeling when the reason is you...;105;16;12;85;Neutral;2023
bros casually saving the world ;13265;5;5;31;Very Positive;2023
You will always be an absolute legend Mr Beast!;23785;9;9;47;Very Positive;2023
Greatest YouTuber? Nah...Greatest human being!;16800;6;5;46;Very Positive;2023
Thank you for supporting those in need. ;22;7;7;40;Very Positive;2023
He did something many organizations promised to do for years within 8 months. This man deserves so much respect and acknowledge.;7235;21;21;128;Very Positive;2023
This is how you use influence, money, celebrity, and a solid following to REALLY help the world. Thank you for all that you do!;7302;24;22;127;Very Positive;2023
In most cases, you could say someone is literally changing lives, but this man is LITERALLY changing lives. Bro is literally a hero.;3206;23;17;132;Very Positive;2023
Cet homme hors mis la recherche de vue, c'est un homme tres béni. Qu'il continue ainsi. Il fait des choses que certains gouvernements n'osent même pas faire. ;13;30;28;158;Very Positive;2023
In most cases, you could say someone is literally changing lives, but this man is LITERALLY changing lives. Bro is literally a hero;2812;23;17;131;Very Positive;2023
You've given a future to thousands of children with this act. You're doing more than entire governments. Bless you, man.;702;22;20;120;Very Positive;2023
I'm literally in tears man. I'm glad that because of your existence dude. You made this society a better place.;578;22;20;111;Very Negative;2023
Благодарю Вас вы человек с большой буквы. Побольше таких людей как вы;35;12;11;69;Very Positive;2023
You did what all the human organizations ignore doing. Thank you Mr. Beast;1862;13;12;74;Very Positive;2023
WELL done ;10634;2;2;10;Very Positive;2023
Que orgullo que exista alguien como tú en este mundo;563;10;9;52;Very Positive;2023
This is how you use influence, money, celebrity, and a solid following to REALLY help the world. Thank you for all that you do! ;4;24;22;128;Very Positive;2023
Insane to think how a young influencer is doing more to help those in need than governments. Incredible person. Much respect.;1778;21;20;125;Very Positive;2023
"We made the right person famous
This is really heart touching that he's been helping all those in needs";2060;20;20;103;Very Positive;2023
Jimmy funding the creation of these wells and helping the communities is one thing, but actually going to the location and overseeing it is just astounding. Round of applause to you Jimmy ;629;32;25;188;Positive;2023
Nolan has such a pure heart <3;14;7;7;30;Very Positive;2023
This man deserves an award for all the kindness he puts in the world!!;1778;14;13;70;Very Positive;2023
Jimmy continues to earn the respect of the world by doing good for humanity.  Thank you sir!;627;17;16;92;Very Positive;2023
A estas personas son a las que debemos seguir y hacer famosos en internet no a muchos otros que realmente no aportan nada a la sociedad, gracias por todo lo que haces Mr. Beast.;719;34;28;177;Very Positive;2023
    .       ;7;0;0;12;Neutral;2023
This youtuber has been able to do in a few months what countless politicians failed to do in enter years. This man truly deserves our respect;1603;26;22;141;Very Positive;2023
This is very wholesome. You can see how thankful they are since it's very hard for them to find water to drink. Thank you, Mr. Beast for helping the community.;564;31;27;159;Very Positive;2023
Jimmy's mom must be so damn proud of him. All the amazing things he does for people is absolutely OUTSTANDING!;491;21;21;110;Very Positive;2023
;2;0;0;0;Positive;2023
Necesitamos más personas como Mr Beast en este mundo ;794;9;9;53;Very Positive;2023
That’s sooooo awesome!! U are the man!! Thanks God;1831;10;10;50;Very Positive;2023
this is absolutely incredible. im SO glad it was you who got super popular and im SO glad youre using it for the best cases possible. thank you so much jimmy. the world needed you.;740;35;27;180;Very Positive;2023
I cried to see  you are hero  i admire your kindness;1;11;10;52;Very Positive;2023
Mis respetos a este hombre, alguien que hace algo por la gente sin pedir nada a cambio.;318;17;16;87;Very Positive;2023
Это просто великолепный поступок надеюсь все его старания окупяться в стократном размере;606;12;12;88;Very Positive;2023
It’s so sweet how the money ended up with someone who deserves it. Jimmy you're a hero!;1046;19;18;87;Very Positive;2023
Ojalá todos fueran como vos;3;5;5;27;Very Positive;2023
Me sinto orgulhoso de saber q existe uma pessoa que realmente ajude o povo q mais precisa;362;17;16;89;Very Positive;2023
He could have sent money but choose to go himself and get it done. This man is a blessing! Thank you!;352;21;21;101;Very Positive;2023
With my whole heart, thank you Jimmy for making this world a better place.;315;14;14;74;Very Positive;2023
"…
…";2;0;0;3;Very Positive;2023
Impresionada por tu gran nivel de solidaridad y empatía , le pones la muestra a muchísimas personas , gracias por apoyar está gran iniciativa, está increíble!! más personas como tú en el mundo , bravo!! ;358;32;28;203;Very Positive;2023
'be the change you want to see in the world.' jimmy isn't just a youtuber, he's a movement starter. flipping the script. heart is full. let's keep this energy guys it's our future. love.;369;38;33;186;Very Positive;2023
Se me salieron unas lagrimas... creo la gente ignora por muchos motivos lo que puede hacer para ayudar, pero con esto eres inspiración.;849;23;23;135;Negative;2023
"
";1;0;0;1;Positive;2023
He is making the world better. What a heartwarming moment.;244;10;10;58;Very Positive;2023
Mr. Beast y su equipo han hecho en un mes lo que ninguna ONG o gobierno ha hecho en décadas, es increíble el impacto que está dejando en el mundo, que su legado continúe siempre, estos vídeos son realmente conmovedores e inspiradores.;2082;42;35;234;Very Positive;2023
Jimmy is truly a very generous person. The kindest youtuber ive seen.;411;12;12;69;Very Positive;2023
"C'est tout ce qui manque à ce monde.. des hommes comme Mrbeast, en regardant cette vidéo,  j'ai eu des larmes chaudes dans les yeux et em même temps une émotion indescrivibile. 
Merci beaucoup Mrbeast";1;36;33;200;Very Negative;2023
Instead of buying giant mansions he is literally changing a lot of lives. I'm so glad that there are still good people out there! Keep it going, Jimmy! You are my favorite YouTuber!;739;34;31;181;Very Positive;2023
I'm so happy to hear and see this, I'm a Kenyan, and no politician has ever done this. If they happen to dig one well, the whole world will know that they did! Thanks a lot, and stay blessed!;1102;41;33;191;Very Positive;2023
