text;likes;words_amount;unique_word_count;char_count;sentiment
Subscribe so we can pass t-series!;258702;7;7;34;Very Positive
Being MrBeast’s friend is better than winning the lottery at this point ;147275;13;13;72;Very Positive
6:44 Yes, Switzerland is in Albania now;77;8;8;39;Very Negative
Seeing Pewds and Jimmy together really makes you think how far both of them have travelled to get to this point, litrally and metaphorically;5703;24;22;140;Very Positive
We should've pressed the panic button twice with Jimmy paying ;20085;11;11;62;Very Negative
5:27 STAIRS! :D;15;4;4;15;Very Negative
Seeing Jimmy and Felix happy puts a smile on my face. This is definitely the highlights of the year!;3918;19;18;100;Very Positive
Genuinely surreal to see Felix and Jimmy together. So proud of you two.;2971;13;13;71;Very Positive
Seeing Jimmy and Felix happy puts a smile on my face. The amount of respect Jimmy and Felix have each other is heart warming! So beautiful!;1715;26;23;139;Very Positive
Loved how you synced the music with the visuals!;3;9;8;48;Very Positive
This is insanity, never done before in the history of this platform. Hats off to you Jimmy!;14202;17;16;91;Very Negative
The amount of respect jimmy and Felix have for each other is heartwarming!!!!So beautiful!;2032;15;15;90;Very Positive
;6;0;0;0;Positive
Seeing Jimmy and Felix having a good time together was just heartwarming to see. ;1328;14;14;81;Positive
The chef on the boat thank youuu;1;7;6;32;Very Positive
The amount of respect Jimmy and Felix have for each other is just perfect.;645;14;14;74;Very Positive
Dollar vacation still seems worth it ;11135;6;6;37;Positive
seeing that jimmy and felix are having a good time is good to watch;2384;14;13;67;Positive
Love the Mc Donald visit that was awesome;8;8;8;41;Very Positive
No matter what, Felix will always have that special something around him that makes him so fun to look at;887;20;18;105;Very Positive
This is how you know you’ve made it. As if anyone else didn’t already say it, this guy deserves every bit of it for his generosity and philanthropy.;3205;30;26;148;Very Positive
Special and most expensive vacation ;1;5;5;36;Very Positive
Jimmy and his team never miss;6431;6;6;29;Very Positive
seeing jimmy and felix  have a good time is really cool to watch;1725;13;13;64;Positive
Absolutely amazing and beautiful ;36;4;4;33;Very Positive
;226;0;0;0;Positive
That's La Casa de la Playa Hotel during 01:26 , went for our honeymoon and had a blast.;24264;19;18;87;Very Positive
"Welcome to Japan! 
Beast chocolate was so delicious!";0;8;8;52;Very Positive
How do you even rent out a whole theme park? Especially in Japan!;4782;13;13;65;Very Positive
Genuinely surreal to see Jimmy and Felix together. So proud of you two.;2341;13;13;71;Very Positive
Best collab in a world history with pewdiepie !!!;1041;8;8;49;Very Positive
3:27 statue of liberty;16;5;5;22;Neutral
The Eiffel Tower segment is prolly the craziest thing MR Beast has done The French surely freaked out.;6308;18;16;102;Very Negative
Seeing Jimmy and Felix happy puts a smile on my face. This is definitely the highlights of the year.;2812;19;18;100;Very Positive
6:30 imagine people thinking there's a blackout at the Eiffel tower ;10;13;13;68;Very Negative
