text;likes;words_amount;unique_word_count;char_count;sentiment
how long could you have stayed in the bunker?;115629;9;9;45;Very Negative
the trick to winning is not having a family to miss;195753;11;10;51;Very Positive
Hugo was MVP. She was a gaslighter and demanding.;180;9;8;49;Very Positive
We need to see Chandler, the best member of the crew;63593;11;10;52;Positive
Damn, Rayne is totally unbearable, Hugo was a warrior for putting up with her for so long.;876;17;16;90;Very Negative
Man respect for Hugo on this one, doing all chores everyday without no help I'll get angry for real. He have such patience good guy to never yell at her.;2546;31;30;153;Very Positive
Hugo deserves an extra $100K for putting up with Rayne that whole time;65544;13;13;70;Very Positive
hugo was real mature compared to rayne, he did all the chores, cooked for her every single day and yet she was still demanding things from him. be like hugo, be patient;7235;32;29;168;Positive
the betrayal in jimmy’s latest video ;73;7;7;37;Very Positive
We need chandler back;22169;4;4;21;Neutral
Hugo is patiented a lot also he is a sweet person;723;11;9;49;Positive
they could actually trick mrbeast to turn on the alarm at the last ten days by fakely walking in to the toilet while ready to make a full speed sprint;24;30;26;150;Very Negative
Man I’m learning human quality how to manage family from Hugo. Wow what a man. He is going to have so much good opportunities after this show;626;28;26;141;Very Positive
I miss  Chandler and Nolan. They are the best;14517;9;9;45;Very Positive
Hugo is like the guy on the group project who does all the work haha.;15508;15;13;69;Very Positive
He betrayed her in the recent mrbeast video ;132;8;8;44;Very Positive
Hugo lost a lot of weight in that challenge, probably eating more vegetables than feastables;142;15;15;92;Negative
Hugo is a very calm and harworking person;84;8;8;41;Very Positive
The audacity Rayne had to demand all those things from Hugo and then get angry when he used the bathroom? I get that the stakes are high, but damn. Hope Hugo gets to join another challenge cause he deserves way more than what he got, putting up with her.;4033;49;42;254;Positive
Hugo betrays Rayne in another future video;8;7;7;42;Positive
is nobody going to talk about how much weight my man hugo lost?;214;13;13;63;Very Negative
"Hugo is mature and gentle man.... 
Cz he survived his own attitude &  tolerated the girl";172;15;15;88;Positive
Hugo lost hella weight ;194;4;4;23;Very Negative
Who is here after seeing Hugo eliminate Rayne and himself?;72;10;10;58;Very Negative
For anyone wondering that he’s committing arson on money, it’s prop money, he said this in a previous video;197;21;18;107;Very Negative
Пригласите меня на такие испытания, готов прожить 200 дней в бункере ));54;11;11;71;Very Positive
;12709;0;0;0;Positive
Hugo is a good person.;997;5;5;22;Positive
"-Très bonne vidéo, c'était cool à regarder ! Bien que j'ai douté à un moment sur le fait qu'Hugo reste, je me suis dit, si il part maintenant, après tout ces jours passés, ça n'aurait servit à rien ! Il faut rester pour emporter gros !
-Par contre si tout deux, n'avaient pas fait le choix des 30 secondes au début, ils auraient put jeter à la poubelle ces 30 secondes au moment ou 10 secondes est égale à 100 000 dollars, soit, ils auraient put gagner 300 000 dollars de plus au compteur ! x)
-Bref, c'était cool à regarder et bien joué aux deux participants d'avoir sut tenir le coup ! ^^
-En 100 jours, l'ennuie va forcément prendre beaucoup de place et c'est souvent lui notre pire ennemis avec sa compagne la routine, faire toujours la même chose constamment se montrera énervant !
-Sur ce, merci de m'avoir lut et à bientôt sous une prochaine vidéo ! ()";1;162;118;859;Positive
First time someone didnt leave for family;8267;7;7;41;Very Negative
As an introvert, this is a win;280;7;7;30;Very Positive
"Hugo est un jeune dégourdi, patiente, et déterminé.
En plus d’avoir un grand coeur d’avoir aidé et supporter autant de caprice de sa coloc.
Il méritait plus que la moitié";163;32;26;170;Very Positive
The Rayneloucious got laughing ;2;4;4;31;Very Negative
Ryan with them is the most wholesome thing to me;106;10;10;48;Very Positive
Cheers to Hugo. He has a large heart.;129;8;8;37;Positive
Hugo deserves a bonus for all the chores he  Did;37;10;10;48;Very Positive
*average vault-tec experiment in fallout*;15;6;6;41;Neutral
4:14 ,chandler is here guys;5279;6;6;27;Positive
I really want to join an event like that, it's a golden opportunity to meet Mr. Beast and win, it would really help my family;84;26;23;125;Very Positive
Ryan,first thing I see is Nolan’s face.Karl,and he almost turned back around;1;16;16;76;Neutral
I love how you can kind of see mrbeast get a little ticked when the contestants decline an offer;106;19;19;96;Positive
23:30 he rejects 200k but 10 seconds later says he would leave for 10k ;18997;15;14;71;Very Negative
Hey Mr beast uhhhh it’s illegal to burn money ..;15764;10;10;48;Very Negative
Who is here after they were both eliminated from 500000 dollar challenge ;18;12;12;73;Very Negative
Chandler the only goat here ;2977;5;5;28;Very Positive
This is brutal to watch, She 100% relied on him staying to be able to make it. But she didnt ever make him feel appreciated;7438;25;20;123;Negative
Chandler has always been the goat;876;6;6;33;Very Positive
The best roommates are bailey and suzie form the 100 days trapped challenge!;1;13;12;76;Very Positive
We want Chandler back;8145;4;4;21;Very Negative
Rayne was straight up abusive. My poor man Hugo;140;9;9;47;Very Negative
Rayne not being able to cook her own food is making me so mad ;7852;14;14;62;Very Negative
Whats great peaceful and entertaining video;1;6;6;43;Very Positive
“Uhuh woah it’s jimmy” 2:59;37;7;7;27;Very Negative
Interesting...shows how important sacrifice, selflessness, team work can make things work with ease even though its difficult...They both did their best.;224;23;22;153;Positive
I teared up at the end. Just so heart warming. I love what u do Mr beast. U r an incredible person and an inspiration to be a better person;48;30;26;139;Very Positive
The festival bars test is the best test in the world ;0;11;8;53;Very Positive
why is everyone saying they need chandler , he’s literally in the video ;3720;13;13;72;Very Negative
Mr.beast letting money burn is crazy;80;7;7;36;Very Negative
Bring Chandler Back;7101;3;3;19;Very Positive
          ;2;0;0;10;Positive
Todays Mission...  26:48;13375;4;4;24;Very Positive
