text;likes;words_amount;unique_word_count;char_count;sentiment
subscribe and i'll invite you next time;73893;8;8;39;Very Positive
"Mr. Beast: ""I'll pay for anything you can carry!""
Chandler: *Goes grocery shopping.*
Edit: Oh my. Thank you guys!!";1582;20;19;114;Very Negative
"Target: *kicks them out*

Walmart: ""we got the oculus over there""";365;11;11;65;Very Negative
Bro the Apple vision ?????;1749;4;4;26;Very Negative
"First walmart: *kicks them out*
This one: we got the oculus over there";1910;13;13;70;Very Negative
"""You can't record in the store""
-things you don't want to say to someone who's about to spend 2 grand";2438;23;19;101;Very Negative
"Everyone: Goes straight to the electronics
Chandler: Gets a bunch of cereal";3385;12;12;75;Very Negative
Are we not gonna talk about the Vision Pro in a video released 4 years before the thing even came out;328;21;20;101;Very Negative
the reason why im love mr beast, because he cares about every members of his team.this is appreciateable;971;19;19;104;Positive
Chandler makes so much money he doesn’t care about the expensive Stuff ;697;13;13;71;Very Negative
"Mr beast: *walks into any store*

Employees: STONKS ↗";2023;8;8;53;Very Negative
Apple vision in 2020;51;4;4;20;Very Positive
when you're shook by how much $$$ Mr. Beasts makes, but then realize you're the reason why;199;18;16;90;Neutral
"Jimmy:“I can’t pay u that much chandler”

Chris:I got u a controller

Chandler: I can’t eat a controller Chris!*


*Underrated*";575;24;15;127;Very Positive
Bro got a apple vision 5 years early;12;8;8;36;Very Positive
"Everyone: I want to get electronics
Chandler: FOOD";443;8;8;50;Very Negative
"Everyone: Get the most expesive stuff!

Chandler: None of these is appealing to me.";236;14;14;83;Very Negative
"Everyone goes straight to the electronics

Chandler:  c e r e a l";4000;13;12;65;Very Positive
Deus abençoe sua vida poderosamente em nome do senhor Jesus, fiquem todos com Deus, Jesus te ama muito e deu a vida pra nós Salvar ;4;25;22;131;Very Positive
Imagine making hella money  then sharing it with your friends, Mr Beast a real one;96;15;15;82;Very Positive
"""I'm sorry I can't pay you this month""
""I got you a controller though!""

*""I CANT EAT A CONTROLLER CHRIS""*";254;22;16;106;Very Negative
Poor Chandler, he wasn’t greedy he just wanted sweets :(;2634;10;9;56;Negative
