text;likes;words_amount;unique_word_count;char_count;sentiment
Subscribe to be in one of my upcoming videos (it's going to be huge!);183116;15;13;69;Positive
mr beast never fails to make good content;63299;8;8;41;Very Positive
Your videos keep getting better and better keep it up bro;8634;11;9;57;Very Positive
this is epic;127008;3;3;12;Very Positive
Every time an interesting challenge appears, it's just an explosion of emotions!;31;13;12;80;Very Positive
Jimmy is the type of guy to spend $20K to repair a $1 car;17826;14;13;57;Very Negative
This was next level. Cody Ko just casually texting while driving LOL;11777;12;12;68;Very Positive
Huge props to Jimmy's editors, it was insane this time;6455;11;11;54;Very Negative
The creator's passion for the topic is evident in this video. It's always refreshing to see someone so enthusiastic about their work. It made the video more engaging to watch.;9;32;26;175;Positive
The amount of power Mr. Beast has to be able to take cars locked in a museum is absolutely crazy LOL;8067;21;20;100;Very Negative
Watching this makes my day so much better.;2957;8;8;42;Very Positive
Mr Beast is Literally Born To Make History ;3329;8;8;43;Very Positive
5:11 Karl is crazy;27;5;5;18;Very Positive
Mr.Beast is such a good person;1426;7;7;30;Very Positive
The fact Jimmy has this much power to take the cars that are almost never on the road. To the actual road is insane. Lol well done;3392;27;22;130;Very Positive
After $600,000 the cars kept getting ridiculous;8;8;8;47;Very Negative
Mr beast is such a good person. EROGIC;75;8;8;38;Very Positive
1$ VS 100000000$;5;3;3;16;Very Negative
Jimmy went from reacting to the world's most expensive cars to trying the world's most expensive cars is truly amazing thing!;3489;23;16;125;Very Positive
Every time an exciting challenge comes up, it’s a complete explosion of emotions!;53;14;14;81;Very Positive
From opening your own charity to feeding a city in need, giving scholarships worth $300,000, and distributing 50,000 cookies, you've made a tremendous impact. You've fed five cities in just 30 days, assisted hurricane survivors, provided meals for 10,000 families on Thanksgiving, and even contributed to cleaning the ocean! The list of your achievements goes on and on. You are truly remarkable, Jimmy!;1739;68;54;403;Very Positive
Very interesting video  I love mrbeats ;2;6;6;39;Very Positive
Mr Beast is such a good person,YEGORIC SCRED;52;9;9;44;Very Positive
Mr.Beast is such a good person YEGORIK;94;8;8;38;Very Positive
Mr.Beast is such a good person. EGIORIC!!!!!!!!;172;8;8;47;Very Positive
هل تقدر تفعل تحدي لعبه الحبار الجزء 2;5;8;8;37;Very Positive
Mr. Beast is such a good person. IGORIC!!;101;8;8;41;Very Positive
Never imagined Jay Leno to ever appear on this channel much less roasting Nolan's mom;1337;16;16;85;Very Negative
"Мистэр бист вы самый добрый чэловэк я вас
Люблю тебя и твой их друзей и твойы каналы";6;17;16;84;Very Positive
Mr.Beast is such a good person .YEGORIC!!!!!!;322;8;8;45;Very Positive
Mr. Beast is so such a good person. EGOIG!!!!!!;125;9;9;47;Very Positive
Mr.Beast is such a good person.EGIORIC !!!;1192;8;8;42;Very Positive
flying cars before GTA6 is CRAZY;3;6;6;32;Very Positive
Mr.Beast is such a good person. YEGORIC;299;8;8;39;Very Positive
The fact that this man convinced so many people to let him be in these these cars is kind;3129;19;18;89;Very Positive
9:14 this feature already existed;4;6;6;33;Very Negative
Mr. Beast is so such a good person EORIG!!!;432;9;9;43;Very Positive
*welp that was the 1$ car*;2;6;6;26;Very Negative
Mr. Beast is such a good person. EGIORIC!!!!!;90;8;8;45;Very Positive
Mr Beast car content is just amazing. It's rare that people in a good financial position make great car content, let alone collab with other well known creators of the genre. Really grateful to Jimmy and the team for making it happen;1725;43;39;233;Very Positive
omg i love your video's  pls make more;2;9;9;38;Very Positive
Mr. Beast is such a good person EGIORIC ;316;8;8;40;Very Positive
Mr. Beast is such a good person. YGORIK SHKRED! ;44;9;9;48;Very Positive
Mr beast is such a good person. EGIORIC!!!!Mr beast is such a good person. EGIORIC!!!!Mr beast is such a good person. EGIORIC!!!!;295;24;8;129;Very Positive
Love you mrbeast;1;3;3;16;Very Positive
"10:24
Jimmy's flinch as the car owner slams the door open is hilarious.";118;15;14;71;Very Positive
This so cool.;1;3;3;13;Very Positive
Ролики Мистера Биста на столько масштабные, что аж хочется плакать...;344;10;10;69;Negative
This is epic mrbeast;1;4;4;20;Very Positive
From being a iPhone obsessed person to accepting sponsorship from Samsung, Jimmy came a long way ;1330;16;14;97;Very Positive
Jimmy went from reacting to the world’s most expensive cars, to trying the worlds most expensive cars. Truly amazing.;336;20;15;117;Very Positive
13:13 he wasnt joking ;156;5;4;22;Very Negative
Bros living the life everyome wants;2;6;6;35;Very Positive
12:28 LMAO;420;3;3;10;Very Negative
Mr. Beast is so such a good person EORIG!! We need your help;89;13;13;60;Very Positive
This Is epic;1;3;3;12;Very Positive
A moment of silence for the man flying the car at 7:09 he sacrificed himself for our entertainment. A true hero.;413;22;19;112;Very Positive
Bros breaking cars before gta 6;1;6;6;31;Very Negative
Mr.Beast is so such a good person EORIG !!!;399;9;9;43;Very Positive
Mr.Beast is such a good person.EGARIK;58;8;8;37;Very Positive
Mr. Beast is such a good person EGIORIC!;228;8;8;40;Very Positive
2:45 ;2;2;2;5;Negative
MR Beast is such a good person  EGIORIC;151;8;8;39;Very Positive
Mr beast is such a good  person.EGIORIC ;261;8;8;40;Very Positive
kayzer abi buradayız;1;3;3;20;Very Positive
Mr.Beast is such a good person. YGORIC;50;8;8;38;Very Positive
Mr. Beast is a good person. EGARIIIIC!!!! ;54;7;7;42;Positive
Wow, it's incredibly expensive.;0;5;5;31;Very Negative
Mr.Beast is such a good person.EGIOC!!;109;8;8;38;Very Positive
Mr.Beast is such a good person.EGIORIC !;188;8;8;40;Very Positive
Our friendship is over;1;4;4;22;Very Positive
MR BEAST is such a good person EGIORIC;111;8;8;38;Very Positive
Mr Beast such a good person. EGIORIC!;174;7;7;37;Very Positive
12:43 interesting!!!;68;3;3;20;Positive
That's wonderful!;1;3;3;17;Very Positive
I wonder how the driver felt at the end when jimmy said “LETS DROP A NUKE ON THIS BRIDGE”;244;19;18;89;Very Negative
This one video is generating more carbon foot prints than a city itself;0;13;13;71;Very Negative
The “prepare for landing” then explosion got me lmao  7:08;44;11;11;58;Very Negative
when a youtuber puts actual effort into their videos, it shows. quality content as always jimmy ;714;16;16;96;Very Positive
The amount of power Jimmy has is actually unbelievable;295;9;9;54;Very Positive
