text;likes;words_amount;unique_word_count;char_count;sentiment
BEAST GAMES FINALE DROPS FEBRUARY 13TH! GO WATCH THE REST NOW! https://unfur.ly/BeastGames;54531;15;15;90;Very Negative
تجربة أسطورية  مرحبًا بك في مصر! ;54956;7;7;33;Very Positive
As an Egyptian, this is the first time I see and hear about the things shown in this video! Honestly, this is one of the best videos you've ever made. ;167205;31;26;151;Very Positive
Doing what most cant and documenting it for the whole world to see. I LOVE IT ;64946;16;15;78;Very Positive
This is the first time I've seen and heard about the events depicted in the video!  Honestly, this is one of your best videos yet.;290;26;22;130;Very Positive
هذه الحلقة هي الأقوى والأعظم بلا شك! فأنت في مصر… حيث وُلدت الحضارة قبل أن يُكتب التاريخ!;15194;19;19;89;Very Positive
بجد فخور جدااا بحضارتنا وزعلان علي تقدير واستغلال غيرنا حاجات موجوده قدامنا كل يوم ;13329;14;14;83;Positive
This is special. Exactly how privileged access should be used and shared.;15957;12;12;73;Very Positive
We need an extended cut of this, must be hours worth of cool content;38555;14;13;68;Neutral
I'm Egyptian and this is the first time to see this magical footage inside our pyramids, thank you for this effort and you are welcome any time in Egypt  ;12495;30;25;154;Very Positive
This was such an incredible adventure to watch! As an Egyptian, I love seeing the beauty and mystery of our pyramids being appreciated in such a unique way. The effort and dedication you and your team put into this experience are truly impressive! Thanks for sharing this amazing journey with the world!;5953;52;44;303;Very Positive
The Egyptian guys were so funny, warm and engaging. Really made this video even more enjoyable.;13284;16;16;95;Very Positive
ok this is by far the coolest vid you've ever made;23943;12;12;50;Neutral
As an Egyptian obsessed with Egyptian history, I find this very wonderful. Thank you for this nice experience.;4759;18;16;110;Very Positive
What a cool adventure to be in!;10;7;7;31;Very Positive
"Those Egyptian guides were so relaxed and engaging.
 I enjoyed the humorous yet informative interaction.";289;15;15;104;Very Positive
These Egyptian dudes are awesome ;41545;5;5;33;Very Positive
أنا كمصري لم أر كل هذه  الأشياء شكرا لك جيمي علي مقطعك الرئع;7346;13;13;60;Very Negative
مصري وكلي فخر بالعظمة دي وحبيت اكتر الدكتور زاهي حواس بعد الفيديو ده وعجلني بطلان نظريات مؤامرة كتير اتذكرت حوالين الاهرامات وحوالين فيديو مستر بيست .. كل الشكر لوزارة السياحة والآثار المصرية .. كل الفخر ببلدي ;1517;34;33;210;Very Negative
اني عراقية وعشت بهذا البلد العظيم 3 سنوات وكانت اجمل بلد ازورها في حياتي ،  بلد يجمع الحضارة والاصالة وشعب يجمع الروح الحلوة والطيبة  كل الحب لام الدنيا والشعب المصري ;3240;29;27;167;Very Positive
Genuinely one of Jimmy’s best videos ever.;2849;8;8;42;Very Positive
area 51 next?;346;3;3;13;Very Negative
حاجه بجد تحسسك بالفخر وحضاره مصر القديمه  ياريت نقدر حضارتنا اكتر من كده ونشتغل عليها في ناس تتمني الآثار تكون موجوده عندها عظيمه يا مصر ;1258;25;24;137;Very Positive
I am Egyptian and this is the first time I see these beautiful shots inside the pyramids. Thank you for this effort and welcome to the mother of the world, which is the origin of civilization. ‏‪21:02‬‏;328;38;29;202;Very Positive
I'm Egyptian  and this is the first time to see the magical footage inside our pyramids, thank you  for this effort and you are welcome  any time in Egypt ;301;30;25;155;Very Positive
As an Egyptian, this is the first time I have seen or heard about the things inside the pyramids. Honestly, it is wonderful. You are creative.;169;26;23;142;Very Positive
Next video “I Spent 100 Hours In Area 51!”;18008;9;9;42;Very Positive
"سهولة التصاريح والمساعدة في التصوير مع وجود د زاهي بنفسه شيء جميل يستحق الثناء 
شكرا لبلد الحضارة والسحر والجمال مصر العظيمة ";1372;21;21;125;Positive
I'm Brazilian and I was inside the Sakara, and other egyptian constructions in 2023. It's amazing. I love Egypt;168;21;18;111;Very Positive
Dude, I wish you had made this video just for 1 hour, I really couldn't get enough of watching it, the pyramids are extraordinary.;142;25;24;130;Neutral
Video from history. Honestly, this is the first time I have seen and learned that there are beautiful things inside the pyramids. This video is Egypt. It is history and civilization. Your brother is from Yemen. Greetings to you.;1217;39;30;228;Very Positive
"Kayzer değıl gayzer.
Kayzer abi burdayız ";82;6;5;41;Very Negative
Kayzer abi burdayız ;219;3;3;20;Very Negative
I am really proud of the greatness of our ancient Egyptian civilization. Thank you. Welcome to Egypt, it was a unique experience;124;22;21;128;Very Positive
الجميل بجد أنه بيست اتكلم و اثبت هو و دكتور زاهى عن أن المصريين القدماء اصحاب بناء الاهرام و أكد على ده مره و اتنين في فيديو انا واثقه أنه هيوصل لاكتر من 300 مليون مشاهد قريب اوى ;327;38;34;179;Very Negative
You can imagine how these pyramids were built by the ancient Egyptians with all this complexity. Thank you, really for this video, as I, as Egyptian, I haven't seen this before;353;32;27;176;Very Positive
I am an antiquities specialist and this is the first time I see new things in the pyramids area. The video is great. Thank you.;377;25;21;127;Very Positive
"That’s insane, going somewhere only 50 people in modern history have been! 
Once in a lifetime experience for sure.";3011;20;19;115;Very Negative
شكرا لكل الفريق المصري اللى ظهر فى الفيديو واللى ورا الكاميرا واى حد ساعد انه يظهر بالشكل الممتع دا .. خفة دم المصريين غالبة ;1520;23;23;125;Positive
This video totally tels if you have money you can do anything ;3;12;11;62;Very Negative
