text;likes;words_amount;unique_word_count;char_count;sentiment
Subscribe so we can hit 200M!;285929;6;6;29;Very Positive
Mack is literally perfect for this;15224;6;6;34;Very Positive
Some of these rooms are pure nightmare fuel ;172502;8;8;44;Neutral
"Probably one of the most heartbreaking moments on this channel.
Please give this man one more chance, he deserves it";8561;20;18;117;Very Positive
2:33 edits bouta be crazyyyy!!;40;6;6;30;Very Negative
Mack is a breath of fresh air, we need him in more videos. His chemistry with the crew is underrated especially with Jimmy. Huge props to the set designers, everything was spot on!;6381;33;30;180;Very Positive
2:50 is crazyyy;254;4;4;15;Very Positive
Mack deserves credit for pushing through despite his initial fear, displaying tremendous determination and courage. Total Respect;5789;17;17;129;Very Positive
The chemistry between Jimmy and this guy is great. He def needs to make a return.;10690;16;16;81;Positive
"2:50
""Work smarter, not harder""";17;6;6;31;Positive
please hire this man. he really helped make  this one of the greatest Mr. Beast videos of all time.;7784;19;17;99;Very Positive
Mack is a breath of fresh air, we need him in more videos. His chemistry with the crew is underrated especially with Jimmy. Huge props to the set designers, everything was spot on!!;2977;33;30;181;Very Positive
"Whoa. This was different. 


Also Mack is an athlete";8004;9;9;52;Very Negative
Bro has played these games before.;159;6;6;34;Very Positive
Mack honestly might be my favorite guy you’ve had on this channel in awhile. And now we need to see his comeback to greatness.;8019;25;24;126;Very Positive
This guy deserves to get hired by Mr. Beast. He has the right energy.;15171;14;14;69;Very Positive
2:46  this is Mack’s best aura moment;8;9;9;37;Very Positive
Honestly hire this guy and give him a good life, he got that entertaining energy I'd love to see him more!;9408;22;21;106;Very Positive
"18:50 you can even see the sadness in his face

This scene really made me cry";571;17;17;77;Very Positive
The amount of energy, and strength Mack put in the traps is a true winner. The fact that he lost from single cookie is saddening. He's amazing though.;4848;29;25;150;Positive
2:48 that was just pure epicness;2;7;7;32;Very Positive
"This actually made me cry. Probably one of the most heartbreaking moments on this channel.
Give him another chance, Jimmy.";2270;20;19;122;Very Negative
2:43 Bro is flash;1;5;5;17;Very Negative
Mack was killing it. Dude seems really athletic as well. Felt terrible to see him lose a life changing amount of money. Round 2 definitely deserved;5005;26;26;147;Very Positive
18:44 sec the reaction absolutely heartbreaking. Respect  to this man.;504;11;11;70;Very Positive
This guy should be on the regular cast. He has all the right energy.;8202;14;13;68;Very Positive
Not me eating a feastable when watching this ;2;8;8;45;Very Negative
Please give this man one more chance, he deserves it;4231;10;10;52;Very Positive
Mack honestly might be my favourite guy you've had on this channel in awhile. and now we need to see his comeback to greatness;3344;25;24;126;Very Positive
the last made me cry;3;5;5;20;Very Positive
Give this man another chance he deserves it. He just wanted to get the viewers to see all the traps.;9182;20;17;100;Very Positive
Mack is a breath of fresh air, we need him in more videos. His chemistry with the crew is underrated especially with Jimmy.;1539;23;21;123;Very Positive
The Darkest most saddest most heartbreaking MrBeast video.;97;8;7;58;Very Negative
Please give Mack another chance! This is one of your most impressive videos yet each set was so intricately designed, it was incredible!!;3044;23;22;137;Very Positive
His energy, his commentary, his bravery, his thinking, Mack is my favourite contestant Mr. Beast has had. Thank you Mack for continuing to push through the challenges.;2259;27;23;167;Very Positive
We need him back .;18;4;4;18;Very Positive
Mack is the best , honestly might be my favorite guy you’ve had on this channel in awhile. And now we need to see his comeback to greatness.;1941;28;27;140;Very Positive
He definitely deserves another shot. He faced his fears so that the viewers could get the opportunity to see all the traps that had been designed. Bring Back Mack!;1498;29;25;163;Very Negative
Happy new year ;17;3;3;15;Very Positive
"Probably one of the most heartbreaking moments on this channel.
Give him another chance";6281;14;14;88;Very Negative
