text;likes;words_amount;unique_word_count;char_count;sentiment
The new Feastables branding and chocolate formula I showed comes out next month, I’ll tell you more mid February! :);72669;20;19;116;Very Positive
Blake has the heart of a champion. We believe in you!;128206;11;11;53;Very Positive
Blake has such a good personality, he deserves the money no matter what.;24595;13;13;72;Very Positive
Give this challenge to an engineer or a military defensive expert or something, would be so cool to see!;6309;19;17;104;Very Positive
Thank you for making this topic accessible and engaging. Your passion for teaching shines through in every video!;25;18;17;113;Very Positive
The fact this man got 3-4 WW2 era tanks is legendary...;3974;12;12;55;Very Positive
Bro could have used 7 shipping containers filled with dirt and beat every challenge.;72;14;14;84;Very Negative
If you put it in a jar, I'd protect it with my life;5460;14;13;51;Very Positive
Blake is such a good guy, he deserves the money no doubt!;519;12;12;57;Very Positive
That is a ww2 shermans and hellcat tanks;19;8;8;40;Neutral
I’d love to see a licensed engineer do one of these challenges and see what they come up with!;4077;20;19;94;Very Positive
Blake has such a good personality;126;6;6;33;Very Positive
       ;8;0;0;7;Positive
Blake needs to just join the channel for good. Best guest they’ve ever had;2487;15;15;74;Very Positive
If you drive around VA Hospitals you may find Veterans who are living in their vehicles who are struggling to survive. Help them out, please!;226;25;22;141;Very Positive
Mack better come back, we want to see him succeed! He has a good heart, and puts so much effort in.;444;21;21;99;Very Positive
this is insane;3;3;3;14;Very Negative
Blake is hands down my favorite competitor in this channel's whole history. He's just wholesome and brave. Hoping next challenge he just walks away with his money though.;2102;30;27;170;Very Positive
Jimmy definitely knew what he was doing for the older audience. This man is literally born to make history.;2626;19;19;107;Very Positive
i would solve this problem with 5 box glue and simante in tank or one nice emp grinte;4;18;18;85;Neutral
We all want Blake to succeed! Dude deserves it!;1271;9;9;47;Very Positive
"''You have to protect it from fire''
''I'll use wood as the backbone of my structure''
This guy has a bright future ahead of him as an architect in Britain";985;31;29;155;Very Positive
Jimmy, you're really pushing the boundaries of what it means to be a YouTuber. Keep it up!;245;18;17;90;Very Positive
"Girls:He might thinking about the other girls!
Men:";0;9;8;51;Neutral
They must have told him he couldn’t use dirt. The obvious solution is just to bury the money under a giant mound of dirt. Cheap, easy, and effective.;4293;29;27;149;Negative
my man out here seriously underestimating the power of burying it in dirt or sand;56;15;15;81;Very Negative
the amount of time and efforts this guy spends on his videos is crazy. This man deserves all the respect in the world.;306;23;20;118;Very Positive
I wonder, how he got permissions to launch those missiles and bombs!!;5;12;12;69;Very Positive
Would love to see one of these be done by a professional engineer or defense expert to see what could really be done!;817;23;19;117;Positive
It would be even better if he came back permanently, he’d be a brilliant addition to the team;1358;19;17;93;Neutral
Fantastic video unlivable;0;3;3;25;Very Positive
Jimmy's dedication is still unmatched after all these years. Legend.;2116;11;11;68;Very Positive
Always love Mr. Beasts content man. This is insane. Hope you're having an awesome year so far beast crew.;200;20;20;105;Very Positive
*CAN We protect it virtually, Beast?* ;3223;6;6;38;Neutral
0:02 shells. Not missiles. Shells (or rounds);1;8;7;45;Very Negative
Jimmy's videos are getting even more crazy! My man, we love you!;139;13;13;64;Very Positive
"Jimmy is pushing the boundaries of what it means to be a ""YouTuber"" - this is INSANE.";790;16;15;85;Very Negative
"The board plan on the first level said ""Nolan?"" On it ";45;11;9;54;Negative
Lets go Blake!!!!;506;3;3;17;Very Positive
The fact this man got 3-4 WW2 era tanks is legendary...;203;12;12;55;Very Positive
The fact that he gave his Credit Card and he spent WHATEVER HE WANTS is already UNTHINKABLE;318;17;15;91;Very Negative
ميستر بيست ارجوك اريد ان اشارك في تحدي لك انا سوري وعمري ١٣ عام ارجوووك;13;15;15;71;Neutral
Who else thought that burrying the money underground was a better idea ?;141;12;12;72;Very Negative
Blake needs to be a permanent addition to the team . The vibes he brings are insane;929;16;14;83;Neutral
لأ إله إلا الله وحده لا شريك له له الملك وله الحمد وهو على كل شيء قدير ;5;17;16;71;Very Negative
Jimmy has no boundaries on how crazy his content gets  .;589;10;10;56;Neutral
We love Blake. He deserves all that money.;885;8;8;42;Very Positive
<frog>;0;1;1;6;Neutral
12:03 best moment so far;114;6;6;24;Very Positive
"Thanos:HELLO
NAM GU:HELLO
Thanos:ok let’s do";0;10;8;44;Neutral
Glad to see the construction workers having fun as well, that chocolate catch was insane.;33;15;15;89;Very Positive
The fighting spirit of this man is amazing! Go Blake win that cash!;42;13;13;67;Very Positive
