text;likes;words_amount;unique_word_count;char_count;sentiment
HELP US SAVE THE OCEAN! GO DONATE https://teamseas.org/;185664;10;10;55;Very Positive
Planted millions of trees, Saving the ocean... He's a true hero!;121947;12;12;64;Very Positive
Appreciate using your brand for good. So many people don't understand the power the internet can be for good, and we have to thank you for that.;47575;28;24;144;Neutral
"MrBeast has literally changed the world
True hero";31894;8;8;49;Very Positive
" 
  ";20;0;0;4;Positive
"What a great cause; we all appreciate your efforts in making our planet a better place ! ";19556;16;15;89;Very Positive
Jimmy is honestly making the world a better place;42273;9;9;49;Very Positive
Please never stop doing what you do! The world needs you ;11700;11;10;57;Very Positive
Our World needs more & more Mrbeast personalities;269;7;6;49;Very Positive
bruh I can't believe there is people that doesn't support this man;3114;14;13;66;Very Negative
Well done Team Mr.Beast!  You really are an inspiration to so many.;1736;13;13;67;Very Positive
You are wonderful, Jimmy. You are truly a kind and compassionate person. You feel the misery of others. You are truly brave and a hero. I congratulate you.;194;28;19;155;Very Positive
I literally could cry at how good of a person jimmy is.....;517;12;12;59;Very Negative
good job .. thank you;5415;4;4;21;Positive
Great initiative, what a way to use your platform. Props.;4289;10;10;57;Very Positive
"I am very pround when all of you do that 
Thank you mr.Beast";21;14;13;60;Very Positive
I’ll try. I’m happy you guys are trying to;1682;11;10;42;Very Positive
He deserves every bit of success he’s got. Period!;1382;10;9;50;Very Positive
LET'S DO THIS Y'ALL!!!;2385;6;6;22;Very Positive
Imagine if other celebrities did this for their channels all at the same time! ;9;14;14;79;Very Positive
Can we take a moment to appreciate everything that Jimmy has for us? He gives away millions of dollars, plants millions of trees, and now he’s saving the ocean! A true hero!;357;33;29;173;Very Positive
Let's go Jimmy proud of you;13112;7;7;27;Very Positive
You're a true hero. You actually use your influence and fame towards making the world a better place. I never saw this coming. First,team trees, which was amazing by itself and now you're cleaning up the oceans. I hope that more people carry on your legacy for years to come...;1050;53;45;277;Very Positive
This has become one of the greatest fundraisers in internet history. Thankyou for changing the world.;2;16;15;101;Very Positive
Thank you for doing this! There's one thing the world needs right - and it's people that CARE! Thank you thank you thank you!;1591;25;18;125;Very Positive
Jimmy deserves everything he has and more. He’s an inspiration for us all, first planting trees and now cleaning oceans. Thank you.;220;23;21;131;Very Positive
Jimmy is literally doing what world leaders should be doing. What a inspiration!;703;13;11;80;Very Positive
Thank you for all you do, what a amazing soul;6;10;9;45;Very Positive
Jimmy, this is simply amazing. You are changing the world. The world is a better place because of how you are choosing to use your money, influence and time. Much love!;564;31;26;168;Very Positive
This is amazing we are definitely donating $1K ;524;8;8;47;Very Positive
This man can't get any better. HE is just too good to be true.;616;15;15;62;Negative
Parabéns meninos, as pessoas precisam colaborar não jogando mais lixo nos rios e oceanos, um abraço aqui do Sul do Brasil ;10;21;20;122;Neutral
We're super happy to be in this. You all can make a difference! ;649;14;14;64;Very Positive
This guy is doing more for the planet than the all the world leaders. First trees now cleaning the ocean next it will be stopping the melting of the ice caps. keep smashing it bro;689;35;29;179;Very Positive
I GOT YOU MR BEAST!!!;382;5;5;21;Very Positive
"  
   .ᆢ";7;1;1;8;Very Positive
insane how he used to make content by helping out others... now he literally just makes the world a better place;495;21;20;112;Very Negative
Influencing on this level, using it to raise awareness and make the world a better place step by step, possibly making others do the same. I don't care if it's for clicks. Awesome Job!;1025;36;33;184;Very Positive
"THIS IS WHAT I WANTED POPULAR YOUTUBERS TO DO! 
You're all a LEGEND TeamSeas!";261;15;15;77;Very Positive
THOU SHALL NOT THROW YOUR UNDERWEAR IN THE OCEAN ‼‼;165;9;9;51;Very Negative
i love how jimmy used his popularity and money to help others, hes truly such a great person;1298;18;18;92;Very Positive
jimmy singlehandedly charmed the entire internet with his infinite kindness, love you jimmy;436;13;12;91;Very Positive
This boy deserves absolutely everything he has achieved, he deserves all the fame and all the money he has, I am happy for him.;672;24;18;127;Very Positive
Good job Mr. Beast! We need more groups forming across the world that perform cleanups! We need more people with financial influence who can pour money into resolving these types of issues! Great job! Let’s keep at this and make the world a far better place for all humanity;1;50;44;274;Very Positive
