text;likes;words_amount;unique_word_count;char_count;sentiment
I hope you guys like the new video concept :);183073;9;9;45;Very Positive
The ending is so heartwarming, Jimmy is ahead of the game delivering movies.;75308;13;11;76;Neutral
This man got $10K/day AND proposed to his now Finance. He’s winning in life.;43900;16;16;76;Very Positive
Respect to Jimmy for giving out so much money! Truly a generous guy.;34497;13;13;68;Very Positive
JusticeforJake;492;1;1;14;Very Positive
That propsal was the most heartwarming thing I've ever seen. Hats off to you Jimmy for these phenomenal videos.;18913;20;20;111;Very Positive
I didn't expect this to be as emotional as it is. Really enjoyed that ;1875;15;14;70;Positive
Great job Josh! *Congratulations* to you two!!;5109;7;7;46;Very Positive
JusticeForJake;1484;1;1;14;Very Positive
"""He looks so happy, he has gone 12 days without seeing his Girlfriend"", and i have gone 26 years without seeing one.";80600;22;18;116;Very Positive
The moment with his girlfriend was so heartwarming ;921;8;8;51;Very Positive
This is the sweetest cutest couple ever ;2001;7;7;40;Very Positive
This was legitimately so wholesome. You can tell at the ending that it wasn't scripted at all when he proposed... This warmed my heart today! Congratulations guys! So happy for y'all!;2679;33;29;183;Very Positive
That ending though, brought tears to my eyes! Congrats Josh on your engagement!;2703;13;13;79;Negative
This challenge isn’t just cool, it’s *FREAKIN’ SWEET!*;2632;10;10;54;Neutral
I spent 8 years in federal prison. This would be a piece of cake. I wish Jimmy would bring me on the show.;2111;23;21;106;Very Negative
Jimmy never disappoints with his content.;2789;6;6;41;Very Positive
MrBeast went from making commentary videos to changing lives and making the world a better place. Jimmy truly has something going on right here;2558;24;23;143;Very Positive
The End Made Me Cry Happy Tears, This Guy is A Great Human ;4020;13;13;59;Very Positive
"hereAfterDogpackExpose2
justiceForWeddle";1194;2;2;40;Very Positive
Damn Jimmy, another good one — and a marriage proposal? You win.;2483;11;11;64;Very Positive
"This is just INSANE.
It's incredible what you are doing and the path this is all taking, I can only congratulate you and thank you for this amazing content.";5027;30;24;157;Very Positive
This was so man wholesome, made my day.;2073;8;8;39;Very Positive
This man goes through great lengths to entertain us, He certainly has my respect.;1907;14;14;81;Very Positive
That was intense! Congrats to Josh for being engaged!;565;9;9;53;Very Positive
The ending made me cry. It was so wholesome ;1433;9;9;44;Very Positive
Justiceforjake;531;1;1;14;Very Positive
This guy has no boundaries on how crazy he can get with his videos.;2234;14;14;67;Very Positive
This is so wholesome!! I am glad that I watched it until the end!;3040;14;13;65;Very Positive
This literally couldn’t have happened to a better guy. Dude is genuine and good.;959;15;15;80;Very Positive
This dude just proposed in a pool of money. He's winning at life;5074;14;14;64;Very Positive
