text;likes;words_amount;unique_word_count;char_count;sentiment
Bro really let his intrusive thoughts win ;160995;7;7;42;Positive
never thought I’d be spending my free time watching a youtuber shred a lambo but here we are;21958;19;18;92;Very Negative
Dude's a genius hitting up the scrapyard!;12677;8;8;41;Very Positive
ويوم يعض الظالم على يديه يقول ياليتني اتخذت مع الرسول سبيلا;30;11;11;59;Very Negative
Absolutely incredible next level stuff as always!! ;7401;7;7;51;Very Positive
I'm so happy for the guy who won the lambo. He fully deserved it!!!;5190;15;14;67;Very Positive
Jimmy is doing everything we always wish we could;9383;9;8;49;Very Positive
9:44 got me;7;4;4;11;Very Positive
So happy for the lambo guy!;5656;6;6;27;Very Positive
Jimmy Neutron never disappoints;4541;4;4;31;Very Positive
Mr. Beast is such a good person, EGORIK!!!!;208;8;8;43;Very Positive
BRO LOVES EXPLODING STUFF;28;4;4;25;Very Positive
0:33 wow the tallest domino in the world?! I've been waiting for someone to break this world record!! what an epic topple!;4351;24;22;122;Very Negative
Those explosions are insane. Please be safe guys ;2974;8;8;49;Very Negative
"А ведь люди когда то писали тут ""мистер Бист напиши егорику под видео..""";26;13;13;72;Very Negative
There is no way that that guy will buy another Tank to defend lamb ;4851;14;13;67;Very Negative
The fact that Jimmy went from destroying laptops to destroying Lamborghinis is insane!;1110;13;12;86;Very Negative
Mr. Beast is such a good person, EGORIC;53;8;8;39;Very Positive
Waky yah bahut badiya hai ;2;5;5;26;Very Negative
Егорик остался в джунглях пока ему мистр бистро не оставит комментарий он просил передать;360;14;14;89;Very Negative
Mr.Beast is so such a good person. Egoric!;57;9;9;42;Very Positive
Adam is very smart he did exactly what he intended and applied every bit of science he could to it absolutely insane;1018;22;20;116;Very Positive
"BRO DESTROYED 7 ELEVEN!
0:39";2;6;6;28;Very Negative
Mr. Beast is so such a good person . EGORIC !!!;51;9;9;47;Very Positive
Don’t let any cops watch this ;5;7;7;30;Very Negative
Mr.Beast is so such a very good person. EGORIC!!!!;116;10;10;50;Very Positive
Mr Beast is so such a good person. EGORIK!!;53;9;9;43;Very Positive
Ok Jimmy, I'll watch your videos now lol. The Dominos experiment was freaking Legit   !!!!;2275;15;15;90;Neutral
At 1:58 why were mrbeasts pants wet;14;8;8;35;Very Negative
Mr. Beast is such a good person. EGORIC!! ;308;8;8;42;Very Positive
Mr. Beast is such a good person. EGORIC!!!!!!;170;8;8;45;Very Positive
Mr Beast is such a good person. EGORIC!!!!!!!!!!! ;617;8;8;50;Very Positive
9:20 Coca Cola Espuma;0;5;5;21;Very Negative
Mr. Beast is such a good person, EGORIC;51;8;8;39;Very Positive
Mr. Best is so such a good person. EGORIC!!! ;52;9;9;45;Very Positive
Mr. Beast is so such a good person. EGORIC!!!!!! ;61;9;9;49;Very Positive
9:44 bro just roasted hershey's in so many levels;13;11;11;49;Very Negative
Mr.Beast is such a good person. EGORIC!!! ;65;8;8;42;Very Positive
How can a single person have so much power and still use it to entertain people. Love your content <3;524;20;20;101;Very Positive
Mr. Beast is so such a good person! EGORIC!;164;9;9;43;Very Positive
You are just doing global warming ;2;6;6;34;Very Positive
Mr Beast is such a good person EGOERIC!!!!!;557;8;8;43;Very Positive
Mr. Beast is so such a good person. EGORIC!!!!!!!!!;339;9;9;51;Very Positive
Amazing  sending nature to you all ;2;6;6;35;Very Positive
Mr Beast is so such a good person. EGORIC!!!!!!!!;869;9;9;49;Very Positive
6:50 the insects flying around peacefully ;77;7;7;42;Very Positive
Mr. Beast is such a good person, EGORIC!!!!;679;8;8;43;Very Positive
Mr. Beast is such a good person EGORIC!;53;8;8;39;Very Positive
Poor lamborghini;18;2;2;16;Very Negative
"mr.Beast is so such a good person. 
EGORIC!!!!";538;9;9;46;Very Positive
Mr. Beast is such a good person. EGORIC!!!!!!!! ;121;8;8;48;Very Positive
Mr. Beast is such a good person. EGORIC ‍;52;8;8;41;Very Positive
At 4:31 the face of rge dude on the right he got me dying;0;15;14;57;Very Negative
Hershey is the best chocolate in the world, Mister Best Did you understand ;3;13;11;75;Very Positive
Wow…Just wow.;1;3;2;13;Very Positive
Mr.Beast is such a good person. EGORIC!!!!!!;63;8;8;44;Very Positive
Mr. Beast is so such a good person. EGORIC !!!;187;9;9;46;Very Positive
i have the perfect strategy for protecting the lambo: you rent a phew people for 10.000 dollars each (from mrbeast's credit card) and say that they need to stand in front of the lambo;0;36;32;183;Very Positive
1:35 1:39  ;3;4;3;11;Very Negative
Mr.Beast is such a good person EGORIC!!!!!;420;8;8;42;Very Positive
Mr. Beast is so such a good person, EGORIC!;187;9;9;43;Very Positive
Bro is richer than elon musk;1;6;6;28;Positive
Mr beast is such a good person. EGORIC!!!!;213;8;8;42;Very Positive
Mr. Beast is such a good person. EGORIC ;89;8;8;40;Very Positive
You notice Lamborghini has no engine and all;3;8;8;44;Very Negative
Mr.Beast is so such a good person. EGORIC ;64;9;9;42;Very Positive
Mr. Beast is such a good person, EGORIC!!!! ;165;8;8;44;Very Positive
Wow, Lamborghini vs. a shredder? That’s wild! Curious to see how it holds up—engineering marvels on both sides. What’s the goal here? Just for fun or testing durability?;0;31;30;169;Very Positive
Mr.Beast is so such a good person. EGORIC;278;9;9;41;Very Positive
Speaking of polition;1;3;3;20;Positive
Mr.Beast is so such a good person. EGORIC!;102;9;9;42;Very Positive
Mr.Beast is such a good person. EGORIC!;64;8;8;39;Very Positive
Mr.Beast is so such a very good person EGORIC!!;63;10;10;47;Very Positive
Oh, no wonder there was smoke, it turned out to be the creeper exploding, oh yeah, greetings from Indonesia;0;19;18;107;Very Negative
Mr. Beast is such a good perso. EGORIC!!!!!!;369;8;8;44;Very Positive
Mr.Beast is such a good person, EGORIC!!!!!;173;8;8;43;Very Positive
5:51 now we need a 1$, 10000$, and 100000$ egg;7;11;11;46;Very Negative
Awesome ;1;1;1;8;Very Positive
Mr. Beast is such a good person EGORIC!!!!!;158;8;8;43;Very Positive
Mr. Beast is such a good man. EGORIC!;106;8;8;37;Very Positive
I want be a guest in one video;3;8;8;30;Very Positive
Mr beast is such a good person . EGORIC!!!;653;8;8;42;Very Positive
Bro has lost it ;0;4;4;16;Very Negative
Mr beast is so such a good person. EGORIC!;68;9;9;42;Very Positive
Mr.Beast is such a good person. EGORIC!! ‍;296;8;8;42;Very Positive
Watching that super hot lambo going in the shredder i cried , i wish i get a lambo;0;17;14;82;Very Positive
Mr.Beast is such a good person.EGORIC!!;180;8;8;39;Very Positive
Mr. Beast is such a good person. EGORIC !!!!;496;8;8;44;Very Positive
"4:23 WHEEE
-*famous last words*";1;6;6;31;Very Positive
Very dangerous bro;1;3;3;18;Very Negative
Mr.Beast is such a good person. EGORIC!!;106;8;8;40;Very Positive
Mr.Beast is so such a very good person. EGORIC!;90;10;10;47;Very Positive
Mr.Beast is so such a very good person EGORIC!!!;62;10;10;48;Very Positive
Mr. Beast is such a good person. EGORIC!!;183;8;8;41;Very Positive
Bro, you destroyed your own festival;0;6;6;36;Very Negative
Mr Beast is such a good man. EGORIC!;58;8;8;36;Very Positive
This is insane ;0;3;3;15;Very Negative
Mr. Beast is so such a very good person. EGORIC.;64;10;10;48;Very Positive
Love you mrbeast ;0;3;3;17;Very Positive
Mr. Beast is such a good man. EGORIC!!!!!!!!;103;8;8;44;Very Positive
