text;likes;words_amount;unique_word_count;char_count;sentiment;video_date
Feel free to make Tik Toks, Shorts, or Insta Reels of any cool moments of this video!;197920;17;16;85;Very Positive;2024
First thing he thought about doing with the money is helping his friends. He is truly a hero.;46295;18;16;93;Very Positive;2024
Mack needs to be a permanent team member;3744;8;8;40;Neutral;2024
"it says something when a dude is willing to go through such a struggle and the first thing he says after winning is ""i've got 3 childhood friends and they won't need to worry about money anymore"". 
hell man, that's a hero right there";11664;47;41;233;Very Negative;2024
Mac deserves permanent place in MrBeaSt Team.. Cm'on  Jimmy. Just Do it His Energy Level just Insane ;1501;18;17;101;Very Negative;2024
let's push to 300M!;33609;5;5;19;Very Positive;2024
No joke, Mac is actually a legit athlete with a strong mental framework. That was NOT easy;6554;17;16;90;Neutral;2024
He thought of his friends first. What a kind person he is. The win is absolutely well deserved.;1401;18;16;95;Very Positive;2024
make mack a member mr beast. please. we need it for him he is the ultimate contestant and needs to stay or come back every video;160;26;26;128;Very Positive;2024
The buildup to the final jump was SPOT ON. I really felt the tension. The Mac saga is probably my favourite MrBeast arc. All that buildup. The perfect payoff;5470;29;24;157;Very Positive;2024
"Keepin' this man as a permanent team member would be the best decision ever
he's fantastic and adorable";3408;19;19;103;Very Positive;2024
"Literally all I can say, is ""WOW"". Congrats Mack, you 100% deserve it.";297;13;13;70;Very Positive;2024
Never in my life have I been this happy and proud of a stranger ;1583;14;14;64;Very Positive;2024
I've never been so happy for someone to win a challenge.... Congratulations Mack, truly deserving;94;16;16;97;Very Positive;2024
Sat in my kitchen cheering on a random guy off the internet to win $800k. Talk about creating a video full of suspense, drama, and excitement. Absolutely amazing!;9905;28;27;162;Very Positive;2024
"wow,
 finally,
bravo ,
";23;3;3;23;Very Positive;2024
Nah @mrbeast its time for mac to be a permanent member of this Channel, he deserves it and he earned it.;945;21;19;104;Very Positive;2024
this was actually so emotional I want mac to be a a permanent mrbeast member he deserves it after this;643;20;18;102;Very Positive;2024
The final scene editing with the jump was insane!  respect to the editor, that was tense!;789;16;13;89;Very Negative;2024
The video offers unique and dramatic challenges that keep viewers engaged from start to finish. The obstacles are creatively designed, making each level unique and memorable.;59;26;23;174;Positive;2024
mac NEEDS to stay in the team he is an amazing person and i'd love to see him in more videos;627;22;20;92;Very Positive;2024
Mac finally winning is definitely going to be one of the biggest moments in the history of Mr Beasts channel. The man is a legend.;2036;25;21;130;Very Positive;2024
