text;likes;words_amount;unique_word_count;char_count;sentiment;video_date
Download monster legends here: https://monsterlegends.onelink.me/1933036881/MrBeast;58323;10;10;83;Very Positive;2020
Subscribe for a cookie;89714;4;4;22;Very Positive;2020
Even having your relative be a friend of MrBeast is a career choice at this point;16821;16;15;81;Very Positive;2020
"Random person: what is your job?

Chris: its complicated";6729;9;9;56;Very Negative;2020
Candler has a teddybear;422;4;4;23;Positive;2020
Legend has it Karl is still cleaning out his house;13787;10;10;50;Very Positive;2020
"Literatly no-one:
Jimmy: robbing houses is fun";517;8;8;46;Positive;2020
4:23  Chapa na close Chapa no zoom dá um close;4;11;9;46;Very Negative;2020
"People : *Having Too Much Money Can't Get You Happiness..*

Jimmy : *But Donating it Can..*";961;15;14;91;Very Negative;2020
"Random person : what is your job?

Chris: its complicated.";426;9;9;58;Negative;2020
"No one:
Chris: DaNg BlAsT iT";551;6;6;28;Very Negative;2020
Imagine Todd lost in a challenge only he was competing in;14;11;10;57;Positive;2020
*Imagine how many stories MrBeast will get to tell when he is grandfather*;912;13;13;74;Very Positive;2020
"Normal robber: quickly and quietly taking everything that has value.

Chris robber: Steals toilet";692;14;13;97;Neutral;2020
"Rip the Viking 
Rip chandlers dads house
Rip chandlers teddy bear";234;11;8;65;Very Negative;2020
That was SO nice! Makes me happy when he helps people.;2;11;11;54;Very Positive;2020
"Tucker: *hey dad, what'd you do when you were younger*
Chris: *robbed houses*";585;14;13;77;Very Negative;2020
*MrBeast is the only Robber who goes in someone's house and give them a lot of money*;619;18;18;85;Very Negative;2020
2:02 he did NOT say neighbors..;26;7;7;31;Very Negative;2020
"Jimmy: I bet tod is just napping.

Tod: dancing on bed.";497;11;10;55;Very Negative;2020
"Their house robbing rate increased 400%


Robbers: *stonks*";675;8;8;59;Very Negative;2020
"*Whole world on a pandemic*

Mrbeast and his crew: *Robbing a house*";466;12;11;68;Very Positive;2020
Bon visionnage a tous ;5;4;4;22;Positive;2020
"Tyler: we're robbing the neighborhood!
Mr.Beast: for legal reasons, thats a joke";348;14;14;80;Very Negative;2020
"MrBeast: I bet Todd is just napping while we're doing this

Todd: *Insane Dancing*";333;15;14;82;Very Negative;2020
"Mr beast: i bet Todds just napping while we do this
Todd:";786;12;12;57;Very Negative;2020
am i the only one who loves to watch mrbeasts old videos?;24;12;12;57;Very Negative;2020
Jimmy: “I bet he’s sleeping right now.”                Todd: just dancing for no reason;195;14;14;87;Very Negative;2020
"“I bet Todd’s just napping while we rob his house.” 

Todd: ";837;12;11;60;Neutral;2020
Did I have lunch”?  “I’m gonna have another lunch and a dinner, and then a midnight snack”. Chandlers dad is a mood;204;23;17;115;Positive;2020
nice taddy chan chan;5;4;3;20;Positive;2020
"Jimmy: I bet tod is just nappin
Tod: *doing some satanic dance*";374;12;11;63;Very Negative;2020
"Plot twist:
While Jimmy filming this
Chandler's Dad robbing Jimmy's house";2862;13;11;73;Neutral;2020
"Everyone robbing the house.

Chandler's dad just confused playing a challenge against no one.";257;15;15;93;Very Positive;2020
I bet Todd is just napping while we do this… IN SIDE OUT SIDE;1;14;13;61;Neutral;2020
"Chris: has a son

Also Chris: Rob's his friends dad for their toolet";682;14;13;68;Positive;2020
"Jimmy: chandler has a teddy bear


Everyone: *NoIcE*";183;8;8;52;Very Negative;2020
"*Watching Chandler Happy while robbing his dads house..*

*All Dads : suspiciously look their toddlers*";502;14;13;103;Positive;2020
Un meme, una historia;6;4;4;21;Very Positive;2020
"Everyone: ""When and will mrbeast run out of money""

Jimmy: *N O*";355;12;12;64;Very Negative;2020
"Everyone: when is Mr.Beast going to run out of money
Mr.Beast: never";708;14;12;68;Very Negative;2020
"Literally no-one:
Jimmy: Robbing a house is fun ";280;9;9;48;Positive;2020
nice Teddybear Candler;4;3;3;22;Positive;2020
Being mr beasts friend is now the highest paid job in the world;210;13;12;63;Very Positive;2020
Chandler: I don’t have a teddy bear. Whatever makes you happy;389;12;12;61;Very Positive;2020
"Jimmy: Robbing a house is fun 

Me: So that's where he gets the money";199;15;15;70;Neutral;2020
Какой милый мишка, Чендлер;1;4;4;26;Very Negative;2020
"Random person: What is your job?

Chris: Complicated";214;8;8;52;Very Negative;2020
"The neighbor's: calls the police 

The police: Oh it is just a Mr Beast it is fine";397;18;13;82;Neutral;2020
Mrbeast: I bet he’s just sleeping Tod: ;250;8;8;39;Very Negative;2020
Para mi el osito de peluche de Chantler es muy lindo;5;11;10;52;Neutral;2020
"Everybody: *""So how much money do you actually have?""*
MrBeast: *""Yes""*";407;11;11;71;Very Negative;2020
"´We´re robbing this house but its a prank´

Criminals watching this: Thats all i have to do is say its a prank?";1100;23;19;111;Very Negative;2020
"Chris: *Says that their robbing a house quietly*
Jimmy: NO NO NO BE QUIET
Also Jimmy: *Chanting we stay robbin*";321;20;17;111;Very Negative;2020
Какой милый мишка Чендлер;1;4;4;25;Very Negative;2020
*Jimmy: “i bet Todd is napping”.  Todd:”*dancing on a bed* ba ba ba”*;163;14;11;69;Neutral;2020
MrBeast: “I bet Todd’s napping” Todd:*dancing on bed* “Inside outside USA”;302;13;12;74;Very Negative;2020
"Jimmy: ""comment about chandlers teddy bear""
comment section: ""everything but that""";461;11;10;82;Neutral;2020
"jimmy and chandler: breaking the window

also jimmy and chandler: going through the front door";140;15;11;94;Neutral;2020
it makes me sad that I won't ever have a chance to meet these amazing people, they are so caring, and kind. there's so many other videos that show him being so kind;244;35;31;164;Very Positive;2020
"'Are we doing it good?'



Your house robbing skills are adequate.";150;11;10;66;Neutral;2020
"0:02 
2:00 ";4;4;4;11;Very Negative;2020
"Jimmy: I'm putting Chris in charge of you guys-



Chris: *staring intently into the distance*";201;16;15;94;Positive;2020
“Comment if u want us to rob ur house” me: welp dunno maybe;424;13;13;59;Very Negative;2020
"Jimmy: I bet Tods just napping 

Todd: Inside outside USA";281;10;10;57;Very Negative;2020
"Don’t tell them we’re robbing the house
Chris: talks about them robbing the toilet in front of the movers";212;21;17;105;Very Negative;2020
