text;likes;words_amount;unique_word_count;char_count;sentiment;video_date
Subscribe and you could possibly be invited to the next one!!;114884;11;11;61;Very Negative;2020
We put tons of time and planning into this! I genuinely hope you enjoyed :)));60114;14;14;77;Very Positive;2020
Put everyone in a room on their own, last to leave wins 20,000$. It's unique because no one knows when anyone has left.;31675;25;25;119;Very Positive;2020
*Being Mr Beast's friend could be an actual career path*;31579;11;11;56;Neutral;2020
*Being Mr beast's friend is a prestigious career and can set you for life, especially if you are Chandler or Chris*;5513;22;21;115;Very Positive;2020
If I ever lost a Mr Beast game I would genuinely never get over it. The act would haunt me for the rest of my entire life.;6974;27;24;122;Very Positive;2020
"Everybody: *Win a bunch of money*
Chandler: *Get huggies*";257;9;9;57;Very Negative;2020
Your kindness is one of a kind.;9;7;7;31;Positive;2020
"throws basketball in the weirdest way possible

“I’ve told you I’ve played before”";2427;15;13;82;Very Positive;2020
"Guy: (Wins Chris's Tesla)
Chris and Jimmy: You weren't supposed to do that";320;15;14;74;Positive;2020
"""wow a Tesla's my dream car""

Chris silently pouting: same";1121;11;11;58;Very Positive;2020
5:48 that was smooth mrbeast;20;6;6;28;Very Positive;2020
"Noah: Tesla’s my dream car too.
Chris: Same.";479;9;9;44;Very Positive;2020
"Everyone: *wins money*
Chandler: *manages to lose $10,000 in less than 2 mins*";689;14;14;78;Very Negative;2020
Changing people’s lives is a daily routine for him at this point;532;13;13;64;Positive;2020
4:24 bro made her restart even though she got it right , she said 130 then 131;13;17;16;78;Very Negative;2020
"Everyone can be a winner and chandler proved it to us today (almost lol)



Proud of you anyways man x)";188;20;20;103;Very Positive;2020
"9:10 Tesla was my dream car

Chris: Same

You can feel the sadness in his voice";622;17;17;79;Very Positive;2020
"Random person: What's your job?

Chris: its complicated";1339;9;9;55;Very Negative;2020
4:18 she got it right;19;6;6;21;Positive;2020
"Guy: What do you do for a living?


Chris : *it's complicated*";382;12;11;62;Neutral;2020
10:03 chris taking out his rage of losing his tesla on that computer;211;14;13;68;Very Negative;2020
Imagine being in this house for quarantine, it would be the best;141;12;12;64;Very Positive;2020
"The design of the MrBeast Tesla is so awesome.
I also want one MrBeast Tesla!!! ";4;15;12;80;Very Positive;2020
"Parents: Money doesn’t grow on trees

Mr. Beast: Let’s change that";841;13;13;66;Very Negative;2020
This need needs to be a Game show series and MrBeast is the perfect host.;748;15;15;73;Very Positive;2020
This needs to be a Game show series and MrBeast is the perfect host.;571;14;14;68;Very Positive;2020
2:07 a tree made up of money just sitting there;5;11;11;47;Very Negative;2020
That Tesla moment was pretty crazy , one cheese ball, crazy .;426;10;9;61;Very Negative;2020
"Random person: What's your job?

Chris: its complicated.";306;9;9;58;Negative;2020
"Jimmy: *explaining honey*

Chris: “Now this is where the fun begins.”";318;11;11;69;Very Positive;2020
4:27 beautiful hair;1;4;4;19;Very Positive;2020
"Noah: “A Tesla is my dream car”

Chris who just lost his Tesla: “Same”";1438;14;13;70;Very Positive;2020
"Interviewer: *How much money do you spend a second?*

MrBeast: *Yes and yes*";423;13;12;76;Very Negative;2020
"ZHC: spends lots of time, money, and effort making the Tesla
MrBeast: gives it away twice";2189;16;16;89;Very Positive;2020
Thanks for 110 subacribera;5;4;4;26;Very Positive;2020
"“A tesla is my favourite car.”

Chris: same...";425;8;8;46;Very Positive;2020
